"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
165.127655319592,165.126800537109,165.128158569336,17.9390892,13.2089994,20.936442,146091.932944659,146084.101077159,30498.025390625,30497,1,"","[M+H-CH4]+ 180.145","139"
165.127565409679,165.126815795898,165.127944946289,30.0031302,29.852256,30.1538778,9975.35752524596,9974.98049799596,28808.830078125,34201,1,"","","212"
169.122262004163,169.121032714844,169.122787475586,22.897179,22.8218058,23.0480538,7869.58875020319,7869.28708620319,28632.720703125,41766,1,"","","173"
169.122083628902,169.12141418457,169.122573852539,1.20508308,1.02033492,1.29408096,7334.78668333546,7334.42168861546,22151.7421875,26726,1,"","","203"
169.122064576319,169.120895385742,169.122711181641,29.776881,27.0826512,32.9559858,159102.243621216,159096.272397706,37173.21484375,36164,1,"","","172"
173.096282123915,173.095428466797,173.096694946289,18.8885832,13.335873,22.14306,301113.741470797,301104.83532664,49678.0625,49677,1,"","","210"
173.095586462604,173.095108032227,173.096130371094,1.20508308,1.02033492,12.7663758,278531.876112794,278520.011425036,34684.84765625,34684,1,"","[M+H-C4H8]+ 228.142","203"
173.096224692428,173.095748901367,173.096542358398,24.439794,22.0676862,27.1581492,194468.174804868,194462.999500818,54726.234375,54725,1,"","","151"
173.096185172501,173.095703125,173.096603393555,29.3997588,29.2488852,33.4129788,145204.009173188,145199.845079588,47347.6171875,47347,1,"","[M+H-C4H8]+ 228.142","172"
178.085138051596,178.084045410156,178.086608886719,23.1235542,8.3652828,23.351928,479588.257021663,279764.826394851,60001.58984375,19,1,"","","173"
209.152664648896,209.150802612305,209.154922485352,24.213546,24.1381698,24.2890452,8636.75412598478,8636.52781288478,41580.03125,53013,1,"","","151"
209.152699219479,209.151260375977,209.153442382812,1.20508308,1.02033492,11.878257,252518.657938016,252507.681995044,30968.205078125,35218,1,"","[2M+Na+3K-H]3+ 244.298 [2M+3Na+K-H]3+ 260.272","203"
209.153441212314,209.151260375977,209.154769897461,17.561967,13.335873,20.6346942,210553.334311257,210545.92971004,60997.85546875,60997,1,"","","47"
209.152839084431,209.151306152344,209.154388427734,30.0785052,28.2153918,30.1538778,78513.0965664022,78511.0699674022,48169.4921875,48168,1,"","","212"
202.10752322826,202.106536865234,202.108154296875,21.9921858,9.715398,22.0676862,182690.357032008,165633.391573173,37952.05078125,19,1,"","","220"
169.046973031755,169.046249389648,169.048858642578,31.964118,30.6207504,34.422222,244126.008079822,243071.507689573,155672.578125,49,1,"","","48"
204.956917514257,204.955917358398,204.95849609375,32.8804872,30.5443752,34.422222,151269.455697302,151266.112725923,160427.84375,160427,1,"","[M+H]+ 203.955","27"
307.893004335216,307.891174316406,307.895965576172,32.9559858,30.696249,34.422222,367876.652309403,367183.934988965,345364.34375,252,1,"","[M+K+NaCOOH]+ 200.944 [M+Na+NaCOOH]+ 216.918 [M+Na+HCOOH]+ 238.898","27"
239.905519336576,239.904907226562,239.906448364258,33.1834848,30.5443752,34.5454728,91764.7609079321,91685.2801009476,101573.75,206,1,"","[M+K]+ 200.944 [M+Na]+ 216.918 [M+H]+ 238.898","27"
356.909751500772,356.908294677734,356.911285400391,33.5268552,32.3536152,34.5454728,444416.607875728,444273.302673197,404837.21875,512,1,"","[M+K+CF3COOH]+ 203.955","27"
216.922968346004,216.922698974609,216.923736572266,33.6498528,30.0031302,34.6962204,415771.4349851,415103.479044986,353630.125,244,1,"","","27"
218.91992323883,218.918991088867,218.920700073242,33.7632258,32.4952368,34.6962204,146743.889379181,146741.817865205,133644.28125,133643,1,"","","27"
220.934814227004,220.934463500977,220.935623168945,33.5268552,30.0031302,36.135336,389073.148027439,296365.371244401,304831.125,19,1,"","[M+Na]+ 197.943","27"
236.907046151249,236.906143188477,236.908248901367,33.5268552,30.0031302,36.2202108,194772.984226991,158157.953237508,157089.859375,18,1,"","[M+K]+ 197.943","27"
226.951689432213,226.951629638672,226.954116821289,33.6498528,27.8382702,38.1265722,3873180.05520105,3852531.23563634,5303965.5,1115,1,"","[M+Na]+ 203.955","27"
151.035514789837,151.034973144531,151.036209106445,31.832616,30.229377,34.9979694,2257087.84402963,2256842.61218078,2023449.75,1951,1,"","","48"
215.088960528271,215.08805847168,215.090240478516,33.6498528,30.0031302,36.371085,105271.362773795,46916.5885291632,48474.05859375,12,1,"","[M+H]+ 214.082","27"
221.079764706372,221.078369140625,221.080718994141,17.7882162,14.0482428,20.7101952,269458.737022133,113258.38650482,63457.8125,57,1,"","[3M+Na+2K-H]2+ 114.089","139"
221.079907129764,221.078125,221.081649780273,34.1356002,34.010226,34.2761004,16854.779658931,6990.42009553616,50048.078125,49,1,"","[M+Na]+ 198.09","27"
192.845572722968,192.845199584961,192.845886230469,34.9979694,34.2761004,36.2202108,27489.7336854535,27488.12768121,28139.783203125,28139,1,"","[M+Na]+ 169.856","204"
190.848519992982,190.84782409668,190.849456787109,35.1488418,34.2761004,36.9747048,28139.9270163264,28115.4290415232,27882.029296875,99,1,"","[M+Na]+ 167.857","204"
199.996691914152,199.995468139648,199.998474121094,35.2242192,34.422222,35.9844612,37698.7988270979,37697.3188110137,34952.66796875,34952,1,"","[3M+2Na]2+ 118.016","204"
206.820989259553,206.820388793945,206.822235107422,35.1488418,34.2761004,36.4464588,29940.003071422,29938.3335649604,32119.6484375,32119,1,"","[M+K]+ 167.857","204"
208.818296871055,208.817398071289,208.818908691406,35.1488418,34.2761004,36.371085,34704.9244007335,34703.0808142855,33231.9375,33231,1,"","[M+K]+ 169.856","204"
168.960823210292,168.960540771484,168.961791992188,35.2242192,34.2761004,36.2957088,35190.6872746751,35188.7518166251,32910.24609375,32909,1,"","[M+Na]+ 145.969 [M+H+NH3]+ 150.927 [M+H]+ 167.951 [M+H-C3H2O3]+ 253.946","204"
156.984202819776,156.983657836914,156.984741210938,35.4565908,34.422222,36.371085,28915.1808102046,28913.3131498296,29196.046875,29195,1,"","[M+K]+ 118.016","204"
254.949872854568,254.948394775391,254.950775146484,35.4565908,34.2761004,37.7140752,40553.5061345062,39664.7402596254,28079.791015625,16,1,"","[M+H]+ 253.946","204"
175.913265284491,175.912689208984,175.913772583008,35.2242192,34.1356002,36.4464588,34159.1809052287,34156.9556339843,27235.40625,27234,1,"","[M+H-CH4]+ 190.932","204"
173.916350383409,173.915985107422,173.916946411133,35.2242192,34.2761004,36.8239572,48576.6718426911,48574.3705526782,38389.22265625,38388,1,"","[M+Na]+ 150.927 [M+H-H2O]+ 190.932","204"
201.073539428929,201.072814941406,201.075012207031,33.889977,30.0785052,36.597708,144374.644114502,69004.408876808,71533.03125,25,1,"","[M+H-CH2]+ 214.082","27"
213.923259818001,213.922149658203,213.923950195312,35.5319652,31.832616,37.050204,41610.1068846018,40188.5511901989,27428.291015625,16,1,"","[M+Na]+ 190.932","204"
236.938996430779,236.938034057617,236.940338134766,35.4565908,34.1356002,38.43357,88233.8817878354,81603.3800244365,44347.11328125,12,1,"","[M+Na+NaCOOH]+ 145.969 [M+Na+HCOOH]+ 167.951 [M+H-H2O]+ 253.946","204"
203.052624022321,203.051818847656,203.054382324219,35.9844612,32.8804872,38.659818,69882.6427132018,67029.9645091645,37369.54296875,17,1,"","","223"
252.144390887246,252.142852783203,252.145523071289,37.5824502,36.371085,39.118065,372106.621062439,372104.057214439,453706.96875,453706,1,"","","62"
